state_fips,county_fips,agency_or_structure_name,issue_type,service_structure_summary,implication_for_pipeline,source_links,note_status
19,,Boone city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#19:municipal:place:1907480,pending
12,,Newberry city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1248200,pending
12,,Macclenny city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1241950,pending
36,,Great Neck village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:place:3630169,pending
27,,East Bethel city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#27:municipal:place:2717486,pending
12,,Daytona Beach Shores city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1216550,pending
35,,Ruidoso Downs city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#35:municipal:place:3565280,pending
36,,Mount Kisco village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:place:3648890,pending
49,,Tremonton city,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#49:municipal:place:4977120,pending
37,,Mocksville town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#37:municipal:place:3743720,pending
36,,Webster village,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the high_impact_full_fill_place lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:place:3678960,pending
36,,Brookhaven town,municipal_target_review,"Brookhaven town does not have a verified town police department or usable annual townwide police reporting surface; Suffolk County Police provides the primary precinct policing layer with village-specific handling inside the town.",Drop the standalone town-level municipal police target and route Brookhaven through Suffolk County primary service structure plus village-specific handling.,state/review/packets/municipal_targets/brookhaven_ny/recommendation.csv,active
36,,Islip town,municipal_target_review,"Islip town does not have a verified general town police department or defensible annual townwide police reporting surface; Suffolk County Police is the primary criminal-law policing layer with village-specific handling inside the town.",Drop the standalone town-level municipal police target and route the area through Suffolk County primary service structure plus village-specific handling rather than preserving a filled town row.,state/review/packets/municipal_targets/islip_ny/recommendation.csv,active
24,,Silver Spring CDP,municipal_target_review,"Silver Spring is an unincorporated CDP with no separate municipal government or police department; official policing runs through Montgomery County Police.",Drop the standalone place-level municipal police target and treat Silver Spring through Montgomery County service structure rather than as a separate annual jurisdiction target.,state/review/packets/municipal_targets/silver_spring_md/recommendation.csv,active
36,,Yaphank CDP,municipal_target_review,"Yaphank is a Census-designated place inside Brookhaven with no incorporated government and no live crosswalked police surface; official policing runs through Suffolk County and parent town structure.",Drop the standalone place-level municipal police target and treat Yaphank through Brookhaven/Suffolk service structure rather than inventing a separate annual control row.,state/review/packets/municipal_targets/yaphank_ny/recommendation.csv,active
24,,Owings Mills CDP,municipal_target_review,"Owings Mills is a CDP inside Baltimore County with no standalone police department; official policing runs through Baltimore County Police and the current crosswalk signal is alias/reference contamination.",Drop the standalone place-level municipal police target and treat any follow-up on MD0035M00 as reference cleanup rather than a reason to preserve the municipal row.,state/review/packets/municipal_targets/owings_mills_md/recommendation.csv,active
36,,Huntington town,municipal_target_review,"Huntington town does not have a verified general town police department or usable annual townwide police reporting row; Suffolk County Police provides general policing and several villages maintain their own departments.",Drop the standalone town-level municipal police target and route Huntington through Suffolk County primary service structure plus village-specific handling.,state/review/packets/municipal_targets/huntington_ny/recommendation.csv,active
36,,Babylon town,municipal_target_review,"The Town of Babylon Police Department was dissolved into Suffolk County Police effective January 1, 1960, and current official town functions are limited public-safety and enforcement roles rather than a general town police department.",Drop the standalone town-level municipal police target and route policing through Suffolk County primary service structure plus village-specific handling rather than preserving a synthetic Babylon town row.,state/review/packets/municipal_targets/babylon_ny/recommendation.csv,active
13,,Augusta CCD,municipal_target_review,"Augusta CCD is a non-governmental Census county subdivision, not a real annual local police control object for the consolidated Augusta government.",Drop the CCD target and keep Augusta-Richmond County consolidated government (balance) as the single consolidated primary municipal row.,state/review/packets/municipal_targets/augusta_ga/recommendation.csv,active
36,,Clay town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3606716067,pending
12,,Merritt Island CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#12:municipal:place:1244275,pending
04,,Sacaton CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#04:municipal:place:0461720,pending
04,,Whiteriver CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#04:municipal:place:0482530,pending
42,,Hempfield township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4212933792,pending
26,,Delhi charter township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#26:municipal:cousub:2606521420,pending
36,,Queensbury town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3611360356,pending
10,,Brookside CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#10:municipal:place:1009850,pending
26,,Summit township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#26:municipal:cousub:2607577200,pending
42,,Lancaster township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4207141224,pending
09,,Sprague town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#09:municipal:cousub:0901171670,pending
36,,Grand Island town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3602929828,pending
21,,Burlington CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#21:municipal:place:2111170,pending
42,,Dover township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4213319704,pending
27,,Red Lake CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#27:municipal:place:2753458,pending
39,,Lemon township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#39:municipal:cousub:3901742672,pending
42,,Coolbaugh township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4208915960,pending
45,,Piedmont CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#45:municipal:place:4556365,pending
26,,Brandon charter township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#26:municipal:cousub:2612510040,pending
26,,Mundy township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#26:municipal:cousub:2604956160,pending
36,,Alden town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3602901099,pending
36,,Southport town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3601569617,pending
26,,Niles township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#26:municipal:cousub:2602157780,pending
42,,Manchester township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4213346872,pending
08,,Derby CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#08:municipal:place:0820275,pending
42,,Warwick township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4207181168,pending
06,,Emerald Lake Hills CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#06:municipal:place:0622587,pending
32,,Spring Creek CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#32:municipal:place:3268550,pending
36,,Sand Lake town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3608365013,pending
42,,Windsor township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4213385736,pending
04,,Ajo CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#04:municipal:place:0400870,pending
26,,Leoni township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#26:municipal:cousub:2607546980,pending
36,,Boston town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3602907454,pending
36,,Aurora town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3602903199,pending
04,,Sells CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#04:municipal:place:0465490,pending
26,,Vienna charter township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#26:municipal:cousub:2604982380,pending
55,,Lac du Flambeau CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#55:municipal:place:5540675,pending
26,,Egelston township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#26:municipal:cousub:2612125080,pending
36,,Highland CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:place:3634484,pending
36,,Erwin town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3610124647,pending
36,,Putnam Valley town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3607960147,pending
36,,Hurley town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3611137143,pending
23,,Standish town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#23:municipal:cousub:2300573670,pending
55,,Madison town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#55:municipal:cousub:5502548025,pending
36,,Mamakating town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3610544809,pending
09,,Tolland town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#09:municipal:cousub:0901376290,pending
42,,Ephrata township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4207123840,pending
49,,Soldier Summit CCD,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#49:municipal:cousub:4905193139,pending
36,,Windsor town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3600782535,pending
36,,Ossining town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3611955541,pending
34,,Williamstown CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#34:municipal:place:3481380,pending
27,,White Bear township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#27:municipal:cousub:2712369916,pending
36,,Mexico town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#36:municipal:cousub:3607546822,pending
42,,Richland township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4200364528,pending
50,,Waterbury town,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#50:municipal:cousub:5002376975,pending
55,,Keshena CDP,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#55:municipal:place:5539250,pending
42,,New Garden township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4202953608,pending
42,,Fairview township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4204924864,pending
42,,South Union township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4205172544,pending
42,,College township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4202715136,pending
26,,Bedford charter township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#26:municipal:cousub:2602506720,pending
42,,Penn township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#42:municipal:cousub:4207158840,pending
26,,Pennfield charter township,municipal_target_review,2024 municipal estimate is fully or heavily fill-backed and flagged for review in the service_structure_suspect lane; verify whether the jurisdiction target and service structure are correct.,"Confirm whether this jurisdiction should remain a standard municipal target, receive a documented service-structure override, or stay estimator-backed with explicit acceptance.",state/review/municipal_target_review_queue.csv#26:municipal:cousub:2602563440,pending
